method,strict_success,behavioral_success,wrong_contract_false_trigger_rate,conflict_detection,target_completion,indirect_success,false_trigger_rate_including_contract_swap
NoMemory,0.6,0.6,0.0,0.0,0.0,0.0,0.0
KeywordTrigger,0.625,0.625,0.0,0.0,0.0625,0.08333333333333333,0.0
TfidfRawMemory,0.6,0.625,0.0,0.0,0.0625,0.0,0.0
FullHistory,0.625,0.625,0.0,0.25,0.0625,0.0,0.0
RawMemorySelfCheck,0.6,0.6,0.0,0.0,0.0,0.0,0.0
ContractPromptHeuristic,0.625,0.625,0.0,0.25,0.0625,0.0,0.0
ContractClassifierOnly,0.6,0.6,0.0,0.25,0.0,0.0,0.0
ContractCompilerOnly,0.6,0.6,0.0,0.0,0.0625,0.08333333333333333,0.05
ContractCheckerOnly,0.6,0.6,0.0,0.0,0.0,0.0,0.0
PACTFull,0.75,0.8,1.0,0.25,0.875,0.9166666666666666,0.3
PACTFull_current,0.75,0.8,1.0,0.25,0.875,0.9166666666666666,0.3
PACT_specificity_gate,0.725,0.8,1.0,0.0,0.875,0.9166666666666666,0.3
PACT_conditional_bonus,0.725,0.8,1.0,0.0,0.875,0.9166666666666666,0.3
PACT_intent_family_gate,0.625,0.675,0.25,0.0,0.5625,0.5833333333333334,0.3
PACT_state_action_split,0.775,0.8,1.0,0.5,0.875,0.9166666666666666,0.3
PACT_R2_full,0.65,0.675,0.25,0.5,0.5625,0.5833333333333334,0.3
PACT_intent_plus_state,0.65,0.675,0.25,0.5,0.5625,0.5833333333333334,0.3
PACT_intent_plus_state_checker,0.65,0.675,0.25,0.5,0.5625,0.5833333333333334,0.3
PACT_intent_plus_state_family_compiler,0.675,0.7,0.25,0.5,0.625,0.6666666666666666,0.3
LearnedPAM,0.525,0.525,0.0,0.5,0.0625,0.0,0.2
LearnedPAM_plus_checker,0.65,0.675,0.0,0.5,0.4375,0.4166666666666667,0.2
LearnedPAM_plus_family_compiler,0.675,0.7,0.0,0.5,0.5,0.5,0.2
ContractOnlyClassifier,0.6,0.6,0.0,0.0,0.0,0.0,0.0
QueryPlusFamilyClassifier,0.775,0.8,0.0,0.5,0.5625,0.5,0.05
QueryPlusContractClassifier,0.5,0.5,0.0,0.5,0.0,0.0,0.2
QueryPlusWrongContractOnly,0.625,0.675,0.0,0.0,0.4375,0.4166666666666667,0.2
PACT_S_null_only,0.65,0.675,0.0,0.5,0.5,0.5,0.25
PACT_S_null_margin,0.75,0.775,0.0,0.5,0.5,0.5,0.05
PACT_S_second_margin,0.65,0.675,0.0,0.5,0.5,0.5,0.25
PACT_S_margins,0.75,0.775,0.0,0.5,0.5,0.5,0.05
PACT_S_broadness_penalty,0.75,0.775,0.0,0.5,0.5,0.5,0.05
PACT_S_zscore_calibration,0.5,0.525,0.0,0.5,0.5,0.5,0.55
PACT_S_pairwise_ranker,0.75,0.775,0.0,0.5,0.5,0.5,0.05
PACT_S_full,0.75,0.775,0.0,0.5,0.5,0.5,0.05
PACT_S_no_NULL,0.3,0.325,1.0,0.5,0.5625,0.5833333333333334,1.0
PACT_S_family_only,0.625,0.625,0.0,0.5,0.0625,0.0,0.0
PACT_S_contract_text_masked,0.625,0.625,0.0,0.5,0.0625,0.0,0.0
PACT_S_family_masked,0.6,0.65,1.0,0.25,0.5,0.4166666666666667,0.3
PACT_S_multi_select_top2,0.75,0.775,0.0,0.5,0.5,0.5,0.05
PACT_S_margin_abstain,0.75,0.775,0.0,0.5,0.5,0.5,0.05
PACT_no_guard,0.675,0.725,1.0,0.25,0.875,0.9166666666666666,0.45
PACT_no_checker,0.475,0.475,1.0,0.25,0.0625,0.0,0.3
PACT_no_compiler,0.7,0.725,1.0,0.25,0.6875,0.75,0.3
PACT_raw_memory,0.625,0.65,0.75,0.25,0.4375,0.4166666666666667,0.25
PACT_no_conflict_resolver,0.725,0.8,1.0,0.0,0.875,0.9166666666666666,0.3
QueryOnlyClassifier,0.55,0.55,0.5,0.25,0.0,0.0,0.1
ContractShufflePACT,0.6,0.6,0.0,0.25,0.0,0.0,0.0
LabelPermutationSanity,0.35,0.35,0.25,0.25,0.0,0.0,0.45
LLMFullHistory,0.6,0.6,0.0,0.0,0.0,0.0,0.0
LLMRawMemoryRAG,0.6,0.6,0.0,0.0,0.0,0.0,0.0
LLMContractClassifier,0.6,0.6,0.0,0.0,0.0,0.0,0.0
LLMContractSelfCheck,0.6,0.6,0.0,0.0,0.0,0.0,0.0
