method,pool_size,correct_contract_selection_rate,wrong_contract_false_trigger_rate,indirect_success,strict_e2e
PACT_R2_full,1,0.7365384615384616,0.0,0.3181818181818182,0.7019230769230769
PACT_intent_plus_state_family_compiler,1,0.7365384615384616,0.0,0.3560606060606061,0.7192307692307692
PACT_S_full,1,0.6903846153846154,0.0,0.29545454545454547,0.6961538461538461
PACT_R2_full,3,0.7076923076923077,0.1346153846153846,0.3181818181818182,0.675
PACT_intent_plus_state_family_compiler,3,0.7076923076923077,0.1346153846153846,0.3560606060606061,0.6923076923076923
PACT_S_full,3,0.6865384615384615,0.019230769230769232,0.29545454545454547,0.6923076923076923
PACT_R2_full,6,0.6692307692307692,0.34615384615384615,0.3181818181818182,0.6461538461538462
PACT_intent_plus_state_family_compiler,6,0.6692307692307692,0.34615384615384615,0.3560606060606061,0.6634615384615384
PACT_S_full,6,0.6807692307692308,0.057692307692307696,0.29545454545454547,0.6865384615384615
PACT_R2_full,12,0.5673076923076923,0.9807692307692307,0.3181818181818182,0.5480769230769231
PACT_intent_plus_state_family_compiler,12,0.573076923076923,0.9807692307692307,0.3560606060606061,0.5711538461538461
PACT_S_full,12,0.6634615384615384,0.19230769230769232,0.29545454545454547,0.6711538461538461
