paraphrase_group_id,decision_consistency,selected_contract_consistency,state_consistency,action_completion_consistency
para::controlled_code_security_005_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_code_security_006_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_code_security_007_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_code_security_008_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_code_security_009_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_code_security_010_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_code_security_011_near_miss,1.0,1.0,1.0,1.0
para::controlled_code_security_012_near_miss,1.0,1.0,1.0,1.0
para::controlled_code_security_013_near_miss,1.0,1.0,1.0,1.0
para::controlled_code_security_014_near_miss,1.0,1.0,1.0,1.0
para::controlled_code_security_015_near_miss,1.0,1.0,1.0,1.0
para::controlled_code_security_016_near_miss,1.0,1.0,1.0,1.0
para::controlled_code_security_017_wrong_scope,1.0,1.0,1.0,1.0
para::controlled_code_security_018_wrong_scope,1.0,1.0,1.0,1.0
para::controlled_code_security_019_wrong_scope,1.0,1.0,1.0,1.0
para::controlled_code_security_020_wrong_scope,1.0,1.0,1.0,1.0
para::controlled_food_safety_005_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_food_safety_006_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_food_safety_007_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_food_safety_008_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_food_safety_009_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_food_safety_010_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_food_safety_011_near_miss,1.0,1.0,1.0,1.0
para::controlled_food_safety_012_near_miss,1.0,1.0,1.0,1.0
para::controlled_food_safety_013_near_miss,1.0,1.0,1.0,1.0
para::controlled_food_safety_014_near_miss,1.0,1.0,1.0,1.0
para::controlled_food_safety_015_near_miss,1.0,1.0,1.0,1.0
para::controlled_food_safety_016_near_miss,1.0,1.0,1.0,1.0
para::controlled_food_safety_017_wrong_scope,1.0,1.0,1.0,1.0
para::controlled_food_safety_018_wrong_scope,1.0,1.0,1.0,1.0
para::controlled_food_safety_019_wrong_scope,1.0,1.0,1.0,1.0
para::controlled_food_safety_020_wrong_scope,1.0,1.0,1.0,1.0
para::controlled_research_ideation_005_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_research_ideation_006_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_research_ideation_007_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_research_ideation_008_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_research_ideation_009_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_research_ideation_010_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_research_ideation_011_near_miss,1.0,1.0,1.0,1.0
para::controlled_research_ideation_012_near_miss,1.0,1.0,1.0,1.0
para::controlled_research_ideation_013_near_miss,1.0,1.0,1.0,1.0
para::controlled_research_ideation_014_near_miss,1.0,1.0,1.0,1.0
para::controlled_research_ideation_015_near_miss,1.0,1.0,1.0,1.0
para::controlled_research_ideation_016_near_miss,1.0,1.0,1.0,1.0
para::controlled_research_ideation_017_wrong_scope,1.0,1.0,1.0,1.0
para::controlled_research_ideation_018_wrong_scope,1.0,1.0,1.0,1.0
para::controlled_research_ideation_019_wrong_scope,1.0,1.0,1.0,1.0
para::controlled_research_ideation_020_wrong_scope,1.0,1.0,1.0,1.0
para::controlled_travel_planning_005_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_travel_planning_006_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_travel_planning_007_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_travel_planning_008_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_travel_planning_009_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_travel_planning_010_indirect_trigger,1.0,1.0,1.0,1.0
para::controlled_travel_planning_011_near_miss,1.0,1.0,1.0,1.0
para::controlled_travel_planning_012_near_miss,1.0,1.0,1.0,1.0
para::controlled_travel_planning_013_near_miss,1.0,1.0,1.0,1.0
para::controlled_travel_planning_014_near_miss,1.0,1.0,1.0,1.0
para::controlled_travel_planning_015_near_miss,1.0,1.0,1.0,1.0
para::controlled_travel_planning_016_near_miss,1.0,1.0,1.0,1.0
