comparison,absolute_gain,mcnemar_holm_p,bootstrap_ci_low,bootstrap_ci_high
PACTFull_vs_NoMemory,0.3057692307692308,1.7065896097963143e-33,0.23819301848049282,0.3524720893141946
PACTFull_vs_KeywordTrigger,0.3,7.454302127143585e-33,0.23208191126279865,0.3484848484848485
PACTFull_vs_TfidfRawMemory,0.3230769230769231,2.2368025194134317e-36,0.2537878787878788,0.3766519823788546
PACTFull_vs_FullHistory,0.275,1.5220717613233782e-29,0.21711899791231734,0.3122866894197952
PACTFull_vs_RawMemorySelfCheck,0.2980769230769231,1.3027396168567253e-32,0.23172905525846701,0.34415584415584416
PACTFull_vs_ContractPromptHeuristic,0.27692307692307694,8.830481282322916e-30,0.21861471861471862,0.3153846153846154
PACTFull_vs_ContractClassifierOnly,0.3057692307692308,1.7065896097963143e-33,0.23819301848049282,0.3524720893141946
PACTFull_vs_ContractCompilerOnly,0.2980769230769231,1.3027396168567253e-32,0.23172905525846701,0.34415584415584416
PACTFull_vs_ContractCheckerOnly,0.3057692307692308,1.7065896097963143e-33,0.23819301848049282,0.3524720893141946
PACTFull_vs_PACTFull_current,0.0,1.0,0.0,0.0
PACTFull_vs_PACT_specificity_gate,0.038461538461538464,0.00028705596923828125,0.023172905525846704,0.054924242424242424
PACTFull_vs_PACT_conditional_bonus,0.03653846153846154,3.814697265625e-05,0.02127659574468085,0.05286343612334802
PACTFull_vs_PACT_intent_family_gate,0.032692307692307694,0.05342455022037029,0.0016835016835016834,0.06493506493506493
PACTFull_vs_PACT_state_action_split,-0.0057692307692307696,1.0,-0.01651376146788991,0.0022026431718061676
PACTFull_vs_PACT_R2_full,0.0019230769230769232,1.0,-0.01594896331738437,0.02242152466367713
PACTFull_vs_PACT_intent_plus_state,-0.007692307692307693,1.0,-0.025597269624573378,0.012320328542094456
PACTFull_vs_PACT_intent_plus_state_checker,-0.007692307692307693,1.0,-0.025597269624573378,0.012320328542094456
PACTFull_vs_PACT_intent_plus_state_family_compiler,-0.028846153846153848,0.10004308680072427,-0.07597535934291581,0.004662004662004662
PACTFull_vs_LearnedPAM,0.3192307692307692,2.496747574127206e-35,0.25384615384615383,0.36796536796536794
PACTFull_vs_LearnedPAM_plus_checker,0.2076923076923077,1.2640003152027802e-19,0.1414141414141414,0.2751540041067762
PACTFull_vs_LearnedPAM_plus_family_compiler,0.19038461538461537,4.07817523573363e-15,0.09523809523809523,0.2727272727272727
PACTFull_vs_ContractOnlyClassifier,0.3057692307692308,1.7065896097963143e-33,0.23819301848049282,0.3524720893141946
PACTFull_vs_QueryPlusFamilyClassifier,0.1423076923076923,1.1183169097055163e-09,0.05827505827505827,0.20833333333333334
PACTFull_vs_QueryPlusContractClassifier,0.33653846153846156,8.352981001041955e-39,0.2669404517453799,0.388671875
PACTFull_vs_QueryPlusWrongContractOnly,0.2230769230769231,2.7695896831716195e-22,0.15757575757575756,0.28952772073921973
PACTFull_vs_PACT_no_guard,0.08846153846153847,1.3554801725490506e-10,0.05605381165919283,0.12280701754385964
PACTFull_vs_PACT_no_checker,0.3,7.882303861827096e-46,0.244122965641953,0.33274021352313166
PACTFull_vs_PACT_no_compiler,0.04230769230769231,5.245208740234375e-06,0.0,0.11904761904761904
PACTFull_vs_PACT_raw_memory,0.2153846153846154,3.5814648679411476e-26,0.1590909090909091,0.2727272727272727
PACTFull_vs_PACT_no_conflict_resolver,0.03653846153846154,3.814697265625e-05,0.02127659574468085,0.05286343612334802
PACTFull_vs_QueryOnlyClassifier,0.3423076923076923,8.021559565086196e-41,0.2792207792207792,0.3889908256880734
PACTFull_vs_ContractShufflePACT,0.3057692307692308,1.7065896097963143e-33,0.23819301848049282,0.3524720893141946
PACTFull_vs_LabelPermutationSanity,0.5942307692307692,2.93592870656877e-80,0.5288461538461539,0.6395534290271132
PACTFull_vs_LLMFullHistory,0.3057692307692308,1.7065896097963143e-33,0.23819301848049282,0.3524720893141946
PACTFull_vs_LLMRawMemoryRAG,0.3057692307692308,1.7065896097963143e-33,0.23819301848049282,0.3524720893141946
PACTFull_vs_LLMContractClassifier,0.3057692307692308,1.7065896097963143e-33,0.23819301848049282,0.3524720893141946
PACTFull_vs_LLMContractSelfCheck,0.3057692307692308,1.7065896097963143e-33,0.23819301848049282,0.3524720893141946
