episode_id,family,case_type,r2_pred_state,r2_pred_contract_id,conflict_detected,behavioral_success,strict_success,response
controlled_food_safety_024_conflict,food_safety,conflict,fire,nut_safety,False,True,False,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer."
controlled_food_safety_025_conflict,food_safety,conflict,fire,nut_safety,False,True,False,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer."
controlled_food_safety_026_conflict,food_safety,conflict,fire,nut_safety,False,True,False,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer."
controlled_code_security_025_conflict,code_security,conflict,fire,flask_auth_security,False,True,False,Plan: Check for hardcoded secrets and unsafe session or session-cookie logic. Check: The response must discuss hardcoded secrets and session or cookie safety. Applicable prospective contract found; preparing answer.
controlled_medical_caution_025_conflict,medical_caution,conflict,fire,health_uncertainty,False,True,False,Plan: Include uncertainty and recommend professional care when appropriate. Check: The response must mention uncertainty and professional care or a clinician when appropriate. Applicable prospective contract found; preparing answer.
controlled_email_rewriting_024_conflict,email_rewriting,conflict,suppress,none,False,False,False,No prospective action is needed.
controlled_email_rewriting_025_conflict,email_rewriting,conflict,fire,plain_professional_email,False,True,False,"Plan: Keep wording simple, clear, and professional. Check: The response must provide simple, clear, professional wording. Applicable prospective contract found; preparing answer."
controlled_email_rewriting_026_conflict,email_rewriting,conflict,fire,plain_professional_email,False,True,False,"Plan: Keep wording simple, clear, and professional. Check: The response must provide simple, clear, professional wording. Applicable prospective contract found; preparing answer."
controlled_scheduling_024_conflict,scheduling,conflict,conflict,schedule_conflict_check,True,False,False,Priority conflict: preserve the higher-priority contract. Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times.
controlled_scheduling_025_conflict,scheduling,conflict,fire,schedule_conflict_check,False,False,False,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.
controlled_scheduling_026_conflict,scheduling,conflict,fire,schedule_conflict_check,False,False,False,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.
controlled_current_facts_024_conflict,current_facts,conflict,fire,verify_current_facts,False,True,False,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. Applicable prospective contract found; preparing answer.
controlled_legal_policy_caution_025_conflict,legal_policy_caution,conflict,fire,legal_policy_uncertainty,False,True,False,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.
controlled_legal_policy_caution_026_conflict,legal_policy_caution,conflict,fire,legal_policy_uncertainty,False,True,False,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.
controlled_data_analysis_hygiene_026_conflict,data_analysis_hygiene,conflict,suppress,none,False,False,False,No prospective action is needed.
naturalistic_admissions_cs_034_conflict,admissions_cs,conflict,conflict,flask_auth_security,True,False,False,Priority conflict: preserve the higher-priority contract. Plan: Check for hardcoded secrets and unsafe session or session-cookie logic. Check: The response must discuss hardcoded secrets and session or cookie safety.
naturalistic_legal_policy_caution_035_conflict,legal_policy_caution,conflict,fire,legal_policy_uncertainty,False,True,False,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.
naturalistic_data_analysis_hygiene_036_conflict,data_analysis_hygiene,conflict,suppress,none,False,False,False,No prospective action is needed.
